row,plot,treatment,rep,flag,fruit,IEC
2,6,ctrl,1,Pink,1,0.0295
2,6,ctrl,1,Pink,2,0.0285
2,6,ctrl,1,Pink,3,0.1
2,6,ctrl,1,Pink,4,0.0747
2,6,ctrl,1,Pink,5,0.4334
2,6,ctrl,1,Pink,6,0
2,6,ctrl,1,Pink,7,0.1215
2,6,ctrl,1,Pink,8,0
2,6,ctrl,1,Pink,9,0.1087
2,6,ctrl,1,Pink,10,0.0551
1,3,avg,1,BlueBlack,1,0.0295
1,3,avg,1,BlueBlack,2,0.0285
1,3,avg,1,BlueBlack,3,0.1
1,3,avg,1,BlueBlack,4,0.0747
1,3,avg,1,BlueBlack,5,0.4334
1,3,avg,1,BlueBlack,6,0
1,3,avg,1,BlueBlack,7,0.1215
1,3,avg,1,BlueBlack,8,0
1,3,avg,1,BlueBlack,9,0.1087
1,3,avg,1,BlueBlack,10,0.0551
1,1,naa,1,OrangeWhite,1,0
1,1,naa,1,OrangeWhite,2,0.1185
1,1,naa,1,OrangeWhite,3,0.3575
1,1,naa,1,OrangeWhite,4,0.0869
1,1,naa,1,OrangeWhite,5,0.0286
1,1,naa,1,OrangeWhite,6,1.5098
1,1,naa,1,OrangeWhite,7,0.0247
1,1,naa,1,OrangeWhite,8,0.2732
1,1,naa,1,OrangeWhite,9,0.128
1,1,naa,1,OrangeWhite,10,0.0659
1,2,ethephon,1,BlackWhite,1,0.1742
1,2,ethephon,1,BlackWhite,2,0.4346
1,2,ethephon,1,BlackWhite,3,0
1,2,ethephon,1,BlackWhite,4,1.072
1,2,ethephon,1,BlackWhite,5,0.4948
1,2,ethephon,1,BlackWhite,6,0
1,2,ethephon,1,BlackWhite,7,33.6992
1,2,ethephon,1,BlackWhite,8,0.0718
1,2,ethephon,1,BlackWhite,9,0.0326
1,2,ethephon,1,BlackWhite,10,0.2093
2,7,ctrl,2,Pink,1,0.0237
2,7,ctrl,2,Pink,2,0.2554
2,7,ctrl,2,Pink,3,0.0376
2,7,ctrl,2,Pink,4,0.838
2,7,ctrl,2,Pink,5,0.2763
2,7,ctrl,2,Pink,6,0.1613
2,7,ctrl,2,Pink,7,0
2,7,ctrl,2,Pink,8,0.3795
2,7,ctrl,2,Pink,9,0
2,7,ctrl,2,Pink,10,0.0963
1,4,avg,2,BlueBlack,1,0.4464
1,4,avg,2,BlueBlack,2,0
1,4,avg,2,BlueBlack,3,0.0437
1,4,avg,2,BlueBlack,4,0
1,4,avg,2,BlueBlack,5,0.0181
1,4,avg,2,BlueBlack,6,0.025
1,4,avg,2,BlueBlack,7,0.0256
1,4,avg,2,BlueBlack,8,0.0656
1,4,avg,2,BlueBlack,9,0
1,4,avg,2,BlueBlack,10,0
3,13,naa,2,OrangeWhite,1,0.0777
3,13,naa,2,OrangeWhite,2,0.1319
3,13,naa,2,OrangeWhite,3,0.0781
3,13,naa,2,OrangeWhite,4,0.3065
3,13,naa,2,OrangeWhite,5,0
3,13,naa,2,OrangeWhite,6,0.1215
3,13,naa,2,OrangeWhite,7,0
3,13,naa,2,OrangeWhite,8,0.0879
3,13,naa,2,OrangeWhite,9,0.0129
3,13,naa,2,OrangeWhite,10,0.4177
1,5,ethephon,2,BlackWhite,1,0
1,5,ethephon,2,BlackWhite,2,0.8074
1,5,ethephon,2,BlackWhite,3,NA
1,5,ethephon,2,BlackWhite,4,NA
1,5,ethephon,2,BlackWhite,5,0.4131
1,5,ethephon,2,BlackWhite,6,0.1104
1,5,ethephon,2,BlackWhite,7,0.3092
1,5,ethephon,2,BlackWhite,8,0
1,5,ethephon,2,BlackWhite,9,0
1,5,ethephon,2,BlackWhite,10,0.08
2,12,ctrl,3,Pink,1,0
2,12,ctrl,3,Pink,2,0.1308
2,12,ctrl,3,Pink,3,0.0865
2,12,ctrl,3,Pink,4,0
2,12,ctrl,3,Pink,5,0.3205
2,12,ctrl,3,Pink,6,0.2426
2,12,ctrl,3,Pink,7,0.182
2,12,ctrl,3,Pink,8,0
2,12,ctrl,3,Pink,9,0.1751
2,12,ctrl,3,Pink,10,0.0266
2,8,avg,3,BlueBlack,1,0
2,8,avg,3,BlueBlack,2,0
2,8,avg,3,BlueBlack,3,0.0453
2,8,avg,3,BlueBlack,4,0
2,8,avg,3,BlueBlack,5,0
2,8,avg,3,BlueBlack,6,0
2,8,avg,3,BlueBlack,7,0.0166
2,8,avg,3,BlueBlack,8,0.0053
2,8,avg,3,BlueBlack,9,0
2,8,avg,3,BlueBlack,10,0.1035
3,14,naa,3,OrangeWhite,1,0.727
3,14,naa,3,OrangeWhite,2,0
3,14,naa,3,OrangeWhite,3,0.8091
3,14,naa,3,OrangeWhite,4,0
3,14,naa,3,OrangeWhite,5,0.0367
3,14,naa,3,OrangeWhite,6,0
3,14,naa,3,OrangeWhite,7,3.5646
3,14,naa,3,OrangeWhite,8,0.0444
3,14,naa,3,OrangeWhite,9,0
3,14,naa,3,OrangeWhite,10,0
2,9,ethephon,3,BlackWhite,1,0.19
2,9,ethephon,3,BlackWhite,2,0.4138
2,9,ethephon,3,BlackWhite,3,0.0549
2,9,ethephon,3,BlackWhite,4,0.3559
2,9,ethephon,3,BlackWhite,5,0.034
2,9,ethephon,3,BlackWhite,6,0.4136
2,9,ethephon,3,BlackWhite,7,0
2,9,ethephon,3,BlackWhite,8,0
2,9,ethephon,3,BlackWhite,9,0.014
2,9,ethephon,3,BlackWhite,10,0.1622
3,17,ctrl,4,Pink,1,0
3,17,ctrl,4,Pink,2,0.2294
3,17,ctrl,4,Pink,3,0.0946
3,17,ctrl,4,Pink,4,0.0534
3,17,ctrl,4,Pink,5,0
3,17,ctrl,4,Pink,6,0.2772
3,17,ctrl,4,Pink,7,0.2974
3,17,ctrl,4,Pink,8,0.666
3,17,ctrl,4,Pink,9,0.1404
3,17,ctrl,4,Pink,10,0.1759
2,10,avg,4,BlueBlack,1,0.0259
2,10,avg,4,BlueBlack,2,0.0347
2,10,avg,4,BlueBlack,3,0.0221
2,10,avg,4,BlueBlack,4,0.0756
2,10,avg,4,BlueBlack,5,0.0315
2,10,avg,4,BlueBlack,6,0
2,10,avg,4,BlueBlack,7,0.063
2,10,avg,4,BlueBlack,8,0.0379
2,10,avg,4,BlueBlack,9,0
2,10,avg,4,BlueBlack,10,0
3,15,naa,4,OrangeWhite,1,0.1442
3,15,naa,4,OrangeWhite,2,0.9859
3,15,naa,4,OrangeWhite,3,0.1255
3,15,naa,4,OrangeWhite,4,0.2928
3,15,naa,4,OrangeWhite,5,1.3463
3,15,naa,4,OrangeWhite,6,0.5387
3,15,naa,4,OrangeWhite,7,0.0206
3,15,naa,4,OrangeWhite,8,0.1603
3,15,naa,4,OrangeWhite,9,0.583
3,15,naa,4,OrangeWhite,10,0
2,11,ethephon,4,BlackWhite,1,0.4465
2,11,ethephon,4,BlackWhite,2,0.1063
2,11,ethephon,4,BlackWhite,3,0.2689
2,11,ethephon,4,BlackWhite,4,0.1066
2,11,ethephon,4,BlackWhite,5,1.0864
2,11,ethephon,4,BlackWhite,6,0.4926
2,11,ethephon,4,BlackWhite,7,0.3541
2,11,ethephon,4,BlackWhite,8,0.0375
2,11,ethephon,4,BlackWhite,9,0.0781
2,11,ethephon,4,BlackWhite,10,0.1003
3,20,ctrl,5,Pink,1,0
3,20,ctrl,5,Pink,2,0.0322
3,20,ctrl,5,Pink,3,0.0689
3,20,ctrl,5,Pink,4,0
3,20,ctrl,5,Pink,5,0.1019
3,20,ctrl,5,Pink,6,0.0998
3,20,ctrl,5,Pink,7,0
3,20,ctrl,5,Pink,8,0.0211
3,20,ctrl,5,Pink,9,0.0456
3,20,ctrl,5,Pink,10,0.0572
3,18,avg,5,BlueBlack,1,0.0347
3,18,avg,5,BlueBlack,2,NA
3,18,avg,5,BlueBlack,3,0.0401
3,18,avg,5,BlueBlack,4,0
3,18,avg,5,BlueBlack,5,0
3,18,avg,5,BlueBlack,6,0.1311
3,18,avg,5,BlueBlack,7,0
3,18,avg,5,BlueBlack,8,0.0744
3,18,avg,5,BlueBlack,9,0
3,18,avg,5,BlueBlack,10,0
3,16,naa,5,OrangeWhite,1,0.8474
3,16,naa,5,OrangeWhite,2,0.0459
3,16,naa,5,OrangeWhite,3,0.0349
3,16,naa,5,OrangeWhite,4,0.0241
3,16,naa,5,OrangeWhite,5,0.2536
3,16,naa,5,OrangeWhite,6,0.0712
3,16,naa,5,OrangeWhite,7,0.341
3,16,naa,5,OrangeWhite,8,0.109
3,16,naa,5,OrangeWhite,9,0.0185
3,16,naa,5,OrangeWhite,10,0.0271
3,19,ethephon,5,BlackWhite,1,0.2141
3,19,ethephon,5,BlackWhite,2,0.0654
3,19,ethephon,5,BlackWhite,3,0.0478
3,19,ethephon,5,BlackWhite,4,0.2199
3,19,ethephon,5,BlackWhite,5,0.1776
3,19,ethephon,5,BlackWhite,6,0.1524
3,19,ethephon,5,BlackWhite,7,0.2079
3,19,ethephon,5,BlackWhite,8,0.2382
3,19,ethephon,5,BlackWhite,9,0.2482
3,19,ethephon,5,BlackWhite,10,0.0822
