row,tree,plot,treatment,rep,flag
1,2,1,naa,1,OrangeWhite
1,3,1,naa,1,OrangeWhite
1,4,1,naa,1,OrangeWhite
1,6,2,ethephon,1,BlackWhite
1,7,2,ethephon,1,BlackWhite
1,8,2,ethephon,1,BlackWhite
1,16,3,avg,1,BlueBlack
1,17,3,avg,1,BlueBlack
1,18,3,avg,1,BlueBlack
1,23,4,avg,2,BlueBlack
1,24,4,avg,2,BlueBlack
1,25,4,avg,2,BlueBlack
1,30,5,ethephon,2,BlackWhite
1,31,5,ethephon,2,BlackWhite
1,32,5,ethephon,2,BlackWhite
2,2,6,ctrl,1,Pink
2,3,6,ctrl,1,Pink
2,4,6,ctrl,1,Pink
2,5,7,ctrl,2,Pink
2,6,7,ctrl,2,Pink
2,7,7,ctrl,2,Pink
2,9,8,avg,3,BlueBlack
2,10,8,avg,3,BlueBlack
2,11,8,avg,3,BlueBlack
2,13,9,ethephon,3,BlackWhite
2,14,9,ethephon,3,BlackWhite
2,15,9,ethephon,3,BlackWhite
2,18,10,avg,4,BlueBlack
2,19,10,avg,4,BlueBlack
2,20,10,avg,4,BlueBlack
2,24,11,ethephon,4,BlackWhite
2,25,11,ethephon,4,BlackWhite
2,26,11,ethephon,4,BlackWhite
2,29,12,ctrl,3,Pink
2,30,12,ctrl,3,Pink
2,31,12,ctrl,3,Pink
3,2,13,naa,2,OrangeWhite
3,3,13,naa,2,OrangeWhite
3,4,13,naa,2,OrangeWhite
3,8,14,naa,3,OrangeWhite
3,9,14,naa,3,OrangeWhite
3,10,14,naa,3,OrangeWhite
3,12,15,naa,4,OrangeWhite
3,13,15,naa,4,OrangeWhite
3,14,15,naa,4,OrangeWhite
3,16,16,naa,5,OrangeWhite
3,17,16,naa,5,OrangeWhite
3,18,16,naa,5,OrangeWhite
3,20,17,ctrl,4,Pink
3,21,17,ctrl,4,Pink
3,22,17,ctrl,4,Pink
3,28,18,avg,5,BlueBlack
3,29,18,avg,5,BlueBlack
3,30,18,avg,5,BlueBlack
3,32,19,ethephon,5,BlackWhite
3,33,19,ethephon,5,BlackWhite
3,34,19,ethephon,5,BlackWhite
3,36,20,ctrl,5,Pink
3,37,20,ctrl,5,Pink
3,38,20,ctrl,5,Pink
